Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,5,-1,Miss,0,1,0.45112799998605624,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_1,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,1,0,1,0,5,-1,Hit,1,1,0.43364959995960817,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_2,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,2,0,2,0,5,-1,Correct Rejection,0,0,0.4996427000151016,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_3,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,3,0,3,0,5,-1,Hit,1,1,0.551419600029476,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_4,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,4,0,4,0,5,-1,Hit,1,1,0.4006264000199735,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_5,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,5,0,5,0,5,-1,Correct Rejection,0,0,0.5330777999479324,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_6,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,6,0,6,0,5,-1,Correct Rejection,0,0,0.4157446000026539,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_7,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,7,0,7,0,5,-1,Miss,0,1,0.43523990001995116,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_8,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,8,0,8,0,5,-1,Correct Rejection,0,0,0.5339632999966852,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_9,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,9,0,9,0,5,-1,Correct Rejection,0,0,0.4680979000404477,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_10,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,10,0,10,0,5,-1,False Alarm,1,0,0.40366830001585186,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_11,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,11,0,11,0,5,-1,Correct Rejection,0,0,0.46913250000216067,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_12,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,12,0,12,0,5,-1,Correct Rejection,0,0,0.4652176999952644,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_13,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,13,0,13,0,5,-1,Hit,1,1,0.4456309999804944,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_14,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,14,0,14,0,5,-1,Hit,1,1,0.5018839999684133,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_15,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,15,0,15,0,5,-1,False Alarm,1,0,0.46814119996270165,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_16,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,16,0,16,0,5,-1,Correct Rejection,0,0,0.468926300003659,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_17,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,17,0,17,0,5,-1,Correct Rejection,0,0,0.432286600000225,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_18,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,18,0,18,0,5,-1,Miss,0,1,0.46779239998431876,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_19,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,19,0,19,0,5,-1,No Answer,2,2,-1,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_20,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,20,0,20,0,5,-1,Correct Rejection,0,0,0.28459930000826716,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_21,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,21,0,21,0,5,-1,Hit,1,1,0.4346974999643862,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_22,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,22,0,22,0,5,-1,Correct Rejection,0,0,0.5008725000079721,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_23,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,23,0,23,0,5,-1,Hit,1,1,0.6033389999647625,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_24,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,24,0,24,0,5,-1,Correct Rejection,0,0,0.6014004000462592,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_25,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,25,0,25,0,5,-1,Miss,0,1,0.4870456999633461,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_26,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,26,0,26,0,5,-1,Hit,1,1,0.48485980002442375,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_27,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,27,0,27,0,5,-1,Hit,1,1,0.40294910001102835,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_28,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,28,0,28,0,5,-1,Hit,1,1,0.5197614000062458,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_29,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,29,0,29,0,5,-1,Hit,1,1,0.46662319998722523,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_30,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,30,0,30,0,5,-1,Hit,1,1,0.4526071999571286,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_31,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,31,0,31,0,5,-1,Hit,1,1,0.4678379999822937,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_32,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,32,0,32,0,5,-1,Correct Rejection,0,0,0.3514718000078574,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_33,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,33,0,33,0,5,-1,Hit,1,1,0.46822700003394857,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_34,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,34,0,34,0,5,-1,Hit,1,1,0.4509525999892503,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_35,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,35,0,35,0,5,-1,Miss,0,1,0.40181870001833886,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_36,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,36,0,36,0,5,-1,Hit,1,1,0.28533210000023246,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_37,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,37,0,37,0,5,-1,Hit,1,1,0.3843545999843627,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_38,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,38,0,38,0,5,-1,Hit,1,1,0.433930600003805,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_39,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,39,0,39,0,5,-1,Correct Rejection,0,0,0.5344462000066414,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_40,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,40,0,40,0,5,-1,Hit,1,1,0.4011064000078477,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_41,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,41,0,41,0,5,-1,Hit,1,1,0.3841847999719903,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_42,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,42,0,42,0,5,-1,Correct Rejection,0,0,0.40274459996726364,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_43,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,43,0,43,0,5,-1,Correct Rejection,0,0,0.4169822999974713,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_44,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,44,0,44,0,5,-1,False Alarm,1,0,0.36548090004362166,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_45,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,0,0,0,0,11,-1,Correct Rejection,0,0,0.5855420000152662,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_46,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,1,0,1,0,11,-1,Correct Rejection,0,0,0.5195477999513969,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_47,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,2,0,2,0,11,-1,Correct Rejection,0,0,0.5185625000158325,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_48,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,3,0,3,0,11,-1,Hit,1,1,0.4506584999617189,True,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_49,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,4,0,4,0,11,-1,Correct Rejection,0,0,0.51602300000377,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_50,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
Yes-No Task,5,0,5,0,11,-1,Correct Rejection,0,0,0.4684988000080921,False,-1,stimulus_YesNo3_Yes-No Task_2020_Mar_23_1659_51,-1,False,1,YesNo3,2020_Mar_23_1659,Yes-No Task,
